lat,lng
-35.36070987,149.0447385
-35.36050917,149.0448902
-35.36065288,149.0444943
-35.36045439,149.0446617
-35.36060841,149.0440963
-35.36147157,149.0448553
-35.36104257,149.044037
-35.36126419,149.0449965
-35.36141411,149.0445384
-35.36121702,149.0447363
-35.36136993,149.0442947
-35.36117393,149.0444986
-35.36135216,149.0441409
-35.36113191,149.0442669
-35.36134293,149.043937
-35.35041879,149.0289942
-35.35007114,149.028729
-35.34953402,149.0286512
-35.34997696,149.0284035
-35.35000631,149.0281449
-35.34974472,149.0277877
-35.34981276,149.0276744
-35.35017352,149.0278589
-35.3503614,149.0277419
-35.35053304,149.0272709
-35.35095024,149.0280259
-35.35101647,149.0282306
-35.35095754,149.0291988
-35.35102553,149.0284137
-35.35093443,149.0287274
-35.35120769,149.0290854
-35.35080665,149.0289942
-35.35049729,149.029417
-35.35876783,149.0353203
-35.35880722,149.0356835
-35.35889439,149.0351505
-35.35899568,149.0354281
-35.35903142,149.034793
-35.3592247,149.0352348
-35.35922192,149.0347412
-35.35937297,149.0349355
-35.36001156,149.0340516
-35.35988832,149.0338037
-35.36016181,149.0338114
-35.35997975,149.0333886
-35.36026282,149.0335664
-35.36006535,149.0331175
-35.36038628,149.0332612
-35.34941862,149.0292717
-35.35264461,149.0343273
-35.35273515,149.0345131
-35.35319262,149.0355356
-35.35328301,149.0357349
-35.35337773,149.0359452
-35.35346356,149.0361492
-35.35358686,149.0364759
-35.3536613,149.0366981
-35.35373631,149.0369478
-35.35380131,149.0371926
-35.35385758,149.0374346
-35.35390205,149.0376548
-35.35394222,149.037887
-35.35397513,149.0381155
-35.35401359,149.0384716
-35.35403153,149.0387237
-35.35406193,149.0396054
-35.35404451,149.0397391
-35.35402796,149.0398662
-35.35400998,149.0400042
-35.35399316,149.0401334
-35.3539753,149.0402705
-35.35395861,149.0403986
-35.3539289,149.0406266
-35.3539122,149.0407549
-35.35387527,149.0410383
-35.35385674,149.0411806
-35.34941862,149.0292717
-35.34959365,149.0290437
-35.3496515,149.0294976
-35.35020774,149.029984
-35.35043842,149.0302256
-35.35060821,149.0304214
-35.35074862,149.0305962
-35.3508841,149.0307774
-35.35101737,149.0309691
-35.35114661,149.0311694
-35.35138599,149.0315861
-35.35150578,149.0318222
-35.35161357,149.0320541
-35.35171116,149.0322692
-35.35180228,149.0324701
-35.35189163,149.0326671
-35.35198882,149.0328814
-35.35207904,149.0330803
-35.35217341,149.0332884
-35.35226862,149.0334983
-35.35235887,149.0336973
-35.35245309,149.033905
-35.35254616,149.0341102
-35.36006245,149.0463394
-35.36098093,149.046282
-35.36105908,149.0466266
-35.36118082,149.0463429
-35.36121899,149.0466753
-35.36138745,149.0464059
-35.36138037,149.0467237
-35.36159365,149.0464471
-35.36154877,149.0467549
-35.36180865,149.0464395
-35.36172982,149.0467598
-35.36007223,149.0460369
-35.36203191,149.0463758
-35.36222457,149.0462654
-35.36247941,149.0460208
-35.36232543,149.0465561
-35.36261732,149.0457985
-35.36249665,149.0464201
-35.36271931,149.0455312
-35.36264529,149.0462594
-35.36032055,149.0464014
-35.36277236,149.0452583
-35.36278156,149.0460598
-35.36281049,149.0450076
-35.36290334,149.0458051
-35.3628456,149.0447769
-35.36288079,149.0445237
-35.36289664,149.0442457
-35.36305764,149.0450876
-35.36035822,149.0460921
-35.36288646,149.0439673
-35.36309826,149.0448205
-35.36285036,149.0436921
-35.36278883,149.0434237
-35.36270267,149.0431657
-35.36314765,149.0440495
-35.36259394,149.0429231
-35.36052043,149.0464623
-35.36238174,149.0425792
-35.36219608,149.0423584
-35.36298133,149.0431653
-35.36198645,149.0421609
-35.3617657,149.0420156
-35.36155385,149.0418022
-35.36133282,149.0416856
-35.36242587,149.0421914
-35.36222435,149.0419892
-35.36094291,149.0415781
-35.36198799,149.0417742
-35.36074232,149.0415663
-35.36050885,149.0415887
-35.3607198,149.0465231
-35.36030325,149.0416413
-35.36010749,149.041719
-35.36094641,149.0412657
-35.35992566,149.0417954
-35.36067108,149.0412574
-35.35974383,149.0418717
-35.3595484,149.0419538
-35.36019414,149.0413557
-35.36074966,149.0462114
-35.35934522,149.0420479
-35.35994542,149.041458
-35.35916949,149.0421904
-35.35966805,149.0415744
-35.35903006,149.0423798
-35.35938517,149.0416932
-35.35893656,149.042592
-35.35905951,149.0413138
-35.35885834,149.0428063
-35.36089918,149.0465778
-35.35877447,149.043036
-35.35882296,149.0421982
-35.35844586,149.0444671
-35.35882237,149.045526
-35.35858977,149.0445764
-35.35887366,149.0457839
-35.35888368,149.0460598
-35.35883287,149.0449454
-35.3588796,149.0463694
-35.358938,149.0451338
-35.35901339,149.0453144
-35.35907015,149.0455049
-35.35910742,149.0457025
-35.35912485,149.0459107
-35.35912401,149.0461286
-35.35807169,149.0447851
-35.35789266,149.0444804
-35.35836573,149.0448034
-35.35806179,149.0444347
-35.35862361,149.0451082
-35.35824999,149.0444106
-35.3587257,149.0452741
-35.35861021,149.0425056
-35.35787303,149.0421858
-35.3577635,149.0415968
-35.3577276,149.0420372
-35.35732666,149.0421672
-35.35755517,149.0419084
-35.35849725,149.0427672
-35.35839462,149.0423346
-35.35833052,149.0426349
-35.3582267,149.0421784
-35.3581626,149.0424958
-35.35806583,149.0420015
-35.35801586,149.0423429
-35.3578786,149.0417664
-35.35624724,149.0319247
-35.35734232,149.0398662
-35.35756408,149.0403876
-35.35763785,149.0400086
-35.35776997,149.0405206
-35.35774333,149.0401657
-35.35786174,149.0404124
-35.35504769,149.0397077
-35.35518799,149.0401853
-35.35495254,149.0404382
-35.35517074,149.0403178
-35.35493126,149.0406015
-35.35515337,149.0404511
-35.35490999,149.0407648
-35.35525085,149.0407277
-35.35503032,149.0398411
-35.35523987,149.039787
-35.35501306,149.0399735
-35.3552225,149.0399204
-35.35499581,149.040106
-35.35520525,149.0400528
-35.35497844,149.0402394
-35.35979582,149.0368671
-35.36050378,149.0377717
-35.36063602,149.037361
-35.36012279,149.0366758
-35.3598202,149.0374069
-35.36050843,149.0368806
-35.35990043,149.0374495
-35.36082247,149.036786
-35.36013354,149.0370941
-35.36076868,149.0370189
-35.360418,149.0372452
-35.35688672,149.0356883
